GOLD,FOREX_RESERVES,INFLATION_YOY,OIL,INTEREST_RATE,USDPKR,M2,YEAR,MONTH,QUARTER,MONTH_SIN,MONTH_COS,USDPKR_diff,REAL_INTEREST,OIL_IN_PKR,KSE100_lag1,KSE100_lag3,KSE100_lag12,INFLATION_YOY_lag1,INFLATION_YOY_lag3,INFLATION_YOY_lag12,INTEREST_RATE_lag1,INTEREST_RATE_lag3,INTEREST_RATE_lag12,USDPKR_lag1,USDPKR_lag3,USDPKR_lag12,OIL_lag1,OIL_lag3,OIL_lag12,FOREX_RESERVES_lag1,FOREX_RESERVES_lag3,FOREX_RESERVES_lag12,GOLD_lag1,GOLD_lag3,GOLD_lag12,M2_lag1,M2_lag3,M2_lag12,KSE100_roll_mean3,KSE100_roll_std3,OIL_roll_mean3,OIL_roll_std3,GOLD_roll_mean3,GOLD_roll_std3
1321.800048828125,11.51,141.309645468124,105.37000274658205,9.26,98.5,36441.06,2014,6,2,1.2246467991473532e-16,-1.0,0.3499984741210937,-132.049645468124,10378.945270538332,29737.689453125,27159.91015625,21005.689453125,140.446142961668,138.46516662333,130.570286564312,15.06,19.04,9.32,98.5999984741211,96.76100158691406,97.5530014038086,102.70999908447266,101.58000183105467,96.55999755859376,17.65,21.86,11.58,1245.5999755859375,1283.4000244140625,1223.800048828125,35945.9,35456.2,32572.09,28603.52669270833,1316.4565148455113,101.3433329264323,1.4990783637123763,1274.8666585286458,26.069402563178546
1281.300048828125,11.42,143.711488574314,98.16999816894533,9.18,98.5999984741211,38110.79,2014,7,3,-0.4999999999999997,-0.8660254037844388,-0.0999984741210937,-134.53148857431398,9679.56166966248,29652.529296875,28912.98046875,23312.76953125,141.309645468124,140.816215464435,133.211588348763,9.26,17.71,9.93,98.5,98.25,101.5999984741211,105.37000274658205,99.73999786376952,105.02999877929688,11.51,20.46,12.22,1321.800048828125,1295.5999755859375,1312.4000244140625,36441.06,34239.38,33763.18,29434.39973958333,453.5654363489565,102.6066665649414,2.8164244978895328,1287.6666666666667,38.71454291781558
1285.800048828125,19.93,144.183149607251,95.95999908447266,17.21,100.77999877929688,38328.77,2014,8,3,-0.8660254037844384,-0.5000000000000004,0.0999984741210937,-126.973149607251,9670.848590594484,30314.0703125,29737.689453125,22160.849609375,143.711488574314,140.446142961668,134.757185272082,9.18,15.06,18.16,98.5999984741211,98.5999984741211,104.3000030517578,98.16999816894533,102.70999908447266,107.6500015258789,11.42,17.65,20.93,1281.300048828125,1245.5999755859375,1396.0999755859375,38110.79,35945.9,34781.55,29901.4296875,359.88508874839334,102.08333333333331,3.64067973766305,1282.9000244140625,38.125224352594245
1210.5,7.88,144.691092258107,91.16000366210938,5.83,101.29000091552734,37131.57,2014,9,3,-1.0,-1.8369701987210294e-16,2.180000305175781,-138.861092258107,9233.596854394536,28567.740234375,29652.529296875,21832.6796875,144.183149607251,141.309645468124,134.372600122148,17.21,9.26,16.81,100.77999877929688,98.5,104.30999755859376,95.95999908447266,105.37000274658205,102.33000183105467,19.93,11.51,19.51,1285.800048828125,1321.800048828125,1326.5,38328.77,36441.06,35153.8,29511.44661458333,881.6719502587057,99.83333333333331,4.920574674978536,1296.300048828125,22.197972880429045
1171.0999755859375,12.85,144.988601525037,80.54000091552734,10.52,101.83000183105467,37473.38,2014,10,4,-0.8660254037844386,0.5000000000000001,0.5100021362304688,-134.468601525037,8201.388440701294,29726.390625,30314.0703125,22775.849609375,144.691092258107,143.711488574314,137.013901906599,5.83,9.18,21.98,101.29000091552734,98.5999984741211,105.87000274658205,91.16000366210938,98.16999816894533,96.37999725341795,7.88,11.42,24.98,1210.5,1281.300048828125,1323.5999755859375,37131.57,38110.79,34105.42,29536.067057291668,888.5856631523785,95.09666697184244,3.583854419334957,1259.2000325520833,42.23543983351828
1175.199951171875,20.32,144.248456519504,66.1500015258789,17.58,100.45999908447266,37428.91,2014,11,4,-0.5000000000000004,0.8660254037844384,0.5400009155273295,-126.668456519504,6645.42909272766,30376.529296875,28567.740234375,24302.189453125,144.988601525037,144.183149607251,138.748163243093,10.52,17.21,10.2,101.83000183105467,100.77999877929688,107.27999877929688,80.54000091552734,95.95999908447266,92.72000122070312,12.85,19.93,12.5,1171.0999755859375,1285.800048828125,1250.5999755859375,37473.38,38328.77,35629.87,29556.88671875,916.2304016078206,89.22000122070312,7.890931059581094,1222.4666748046875,58.27887850544064
1183.9000244140625,16.92,142.797191802773,53.27000045776367,14.36,100.4499969482422,38914.38,2014,12,4,-2.4492935982947064e-16,1.0,-1.370002746582017,-128.437191802773,5350.971383415222,31197.98046875,29726.390625,25261.140625,144.248456519504,144.691092258107,136.912313376428,17.58,5.83,8.08,100.45999908447266,101.29000091552734,105.5999984741211,66.1500015258789,91.16000366210938,98.41999816894533,20.32,7.88,10.26,1175.199951171875,1210.5,1201.9000244140625,37428.91,37131.57,35343.77,30433.633463541668,737.4549690964675,79.28333536783855,12.552269035422272,1185.5999755859375,21.661275627655485
1278.5,8.0,142.913292980112,48.2400016784668,5.94,100.9000015258789,37445.81,2015,1,1,0.4999999999999999,0.8660254037844387,-0.0100021362304545,-136.973292980112,4867.416242965701,32131.279296875,30376.529296875,26784.33984375,142.797191802773,144.988601525037,137.579895146124,14.36,10.52,5.88,100.4499969482422,101.83000183105467,105.41999816894533,53.27000045776367,80.54000091552734,97.48999786376952,16.92,12.85,7.94,1183.9000244140625,1171.0999755859375,1240.0999755859375,38914.38,37473.38,36651.26,31235.26302083333,877.9688958854971,66.65333429972331,13.641966102894594,1176.7333170572915,6.536338478443001
1212.5999755859375,23.66,141.592642087886,49.7599983215332,20.73,101.8499984741211,38400.15,2015,2,1,0.8660254037844386,0.5000000000000001,0.4500045776367045,-120.862642087886,5068.055753120425,34443.87109375,31197.98046875,25783.279296875,142.913292980112,144.248456519504,137.144515731105,5.94,17.58,21.8,100.9000015258789,100.45999908447266,104.9000015258789,48.2400016784668,66.1500015258789,102.58999633789062,8.0,20.32,24.79,1278.5,1175.199951171875,1321.4000244140625,37445.81,37428.91,35130.5,32591.043619791668,1671.0741790345517,55.88666788736979,9.237274217075385,1212.5333251953125,57.294192176831146
1183.0999755859375,11.23,141.911920325567,47.59999847412109,8.99,101.8000030517578,40115.07,2015,3,1,1.0,6.123233995736766e-17,0.9499969482421876,-132.921920325567,4845.679989929193,33632.19140625,32131.279296875,27159.91015625,141.592642087886,142.797191802773,138.46516662333,20.73,14.36,19.04,101.8499984741211,100.4499969482422,96.76100158691406,49.7599983215332,53.27000045776367,101.58000183105467,23.66,16.92,21.86,1212.5999755859375,1183.9000244140625,1283.4000244140625,38400.15,38914.38,35456.2,33402.447265625,1173.2889594456417,50.423333485921226,2.5797736499869317,1225.0,48.50370397523534
