DATE,INFLATION_YOY
1957-01-01,1.90971508242337
1957-02-01,1.89310886431533
1957-03-01,1.89310886431533
1957-04-01,1.95953373674745
1957-05-01,1.9263213005314
1957-06-01,1.95953373674745
1957-07-01,1.97613995485548
1957-08-01,2.02595860917957
1957-09-01,2.02595860917957
1957-10-01,2.0425648272876
1957-11-01,2.0425648272876
1957-12-01,2.0425648272876
1958-01-01,2.0425648272876
1958-02-01,2.09238348161169
1958-03-01,2.0425648272876
1958-04-01,2.05917104539562
1958-05-01,2.05917104539562
1958-06-01,2.07577726350365
1958-07-01,2.12559591782775
1958-08-01,2.10898969971972
1958-09-01,2.12559591782775
1958-10-01,1.99274617296351
1958-11-01,1.90971508242337
1958-12-01,1.85989642809927
1959-01-01,1.85989642809927
1959-02-01,1.8765026462073
1959-03-01,1.90971508242337
1959-04-01,1.90971508242337
1959-05-01,1.9263213005314
1959-06-01,1.94292751863943
1959-07-01,1.97613995485548
1959-08-01,2.00935239107154
1959-09-01,2.0425648272876
1959-10-01,2.0425648272876
1959-11-01,2.09238348161169
1959-12-01,2.07577726350365
1960-01-01,2.10898969971972
1960-02-01,2.12559591782775
1960-03-01,2.10898969971972
1960-04-01,2.09238348161169
1960-05-01,2.10898969971972
1960-06-01,2.12559591782775
1960-07-01,2.14220213593578
1960-08-01,2.09238348161169
1960-09-01,2.09238348161169
1960-10-01,2.10898969971972
1960-11-01,2.09238348161169
1960-12-01,2.10898969971972
1961-01-01,2.10898969971972
1961-02-01,2.10898969971972
1961-03-01,2.12559591782775
1961-04-01,2.12559591782775
1961-05-01,2.10898969971972
1961-06-01,2.14220213593578
1961-07-01,2.12559591782775
1961-08-01,2.17541457215183
1961-09-01,2.20862700836789
1961-10-01,2.17541457215183
1961-11-01,2.17541457215183
1961-12-01,2.14220213593578
1962-01-01,2.14706892764281
1962-02-01,2.16687622954613
1962-03-01,2.16219063123016
1962-04-01,2.14642998244211
1962-05-01,2.15856994163883
1962-06-01,2.17454357218885
1962-07-01,2.12917846142678
1962-08-01,2.10447257950941
1962-09-01,2.0980831272894
1962-10-01,2.10660239693738
1962-11-01,2.10915817782538
1962-12-01,2.08700807679601
1963-01-01,2.08786000375868
1963-02-01,2.11320483087676
1963-03-01,2.14046649370343
1963-04-01,2.16368150341483
1963-05-01,2.17880320700219
1963-06-01,2.21969570121026
1963-07-01,2.19371192887018
1963-08-01,2.17475655395081
1963-09-01,2.17816426178019
1963-10-01,2.17198779130084
1963-11-01,2.16155168602947
1963-12-01,2.17901618874286
1964-01-01,2.17454357218885
1964-02-01,2.22906689782091
1964-03-01,2.22438129950493
1964-04-01,2.22906689782091
1964-05-01,2.20819468721424
1964-06-01,2.22182551863823
1964-07-01,2.25377277973828
1964-08-01,2.27869164339632
1964-09-01,2.30808312360837
1964-10-01,2.30936101403107
1964-11-01,2.288488803467
1964-12-01,2.32256588195242
1965-01-01,2.34514194648443
1965-02-01,2.36814397445516
1965-03-01,2.35877277788712
1965-04-01,2.36154154049448
1965-05-01,2.39284985637253
1965-06-01,2.35664296045915
1965-07-01,2.3924238929125
1965-08-01,2.39774843642918
1965-09-01,2.41159224955123
1965-10-01,2.38220076933919
1965-11-01,2.37666324408184
1965-12-01,2.4105273408479
1966-01-01,2.43885391235661
1966-02-01,2.48549691358398
1966-03-01,2.47186608216
1966-04-01,2.53277885999076
1966-05-01,2.51126770420469
1966-06-01,2.54577074619275
1966-07-01,2.56004052281744
1966-08-01,2.58645025863885
1966-09-01,2.59752530915353
1966-10-01,2.61264701274089
1966-11-01,2.61882348322023
1966-12-01,2.65652125131829
1967-01-01,2.67718048018429
1967-02-01,2.72893504314507
