DATE,KSE100
2013-03-31,17947.759765625
2013-04-30,18982.419921875
2013-05-31,21823.05078125
2013-06-30,21005.689453125
2013-07-31,23312.76953125
2013-08-31,22160.849609375
2013-09-30,21832.6796875
2013-10-31,22775.849609375
2013-11-30,24302.189453125
2013-12-31,25261.140625
2014-01-31,26784.33984375
2014-02-28,25783.279296875
2014-03-31,27159.91015625
2014-04-30,28912.98046875
2014-05-31,29737.689453125
2014-06-30,29652.529296875
2014-07-31,30314.0703125
2014-08-31,28567.740234375
2014-09-30,29726.390625
2014-10-31,30376.529296875
2014-11-30,31197.98046875
2014-12-31,32131.279296875
2015-01-31,34443.87109375
2015-02-28,33632.19140625
2015-03-31,30233.869140625
2015-04-30,33729.9609375
2015-05-31,33056.7890625
2015-06-30,34398.859375
2015-07-31,35741.51953125
2015-08-31,34726.51171875
2015-09-30,32287.41015625
2015-10-31,34261.6015625
2015-11-30,32255.19921875
2015-12-31,32816.30859375
2016-01-31,31298.599609375
2016-02-29,31369.509765625
2016-03-31,33139.0
2016-04-30,34719.2890625
2016-05-31,36061.55859375
2016-06-30,37783.5390625
2016-07-31,39505.28125
2016-08-31,39809.578125
2016-09-30,40541.80859375
2016-10-31,39893.83984375
2016-11-30,42622.37109375
2016-12-31,47806.96875
2017-01-31,48757.671875
2017-02-28,48534.23046875
2017-03-31,48155.9296875
2017-04-30,49300.8984375
2017-05-31,50591.5703125
2017-06-30,46565.2890625
2017-07-31,46010.44921875
2017-08-31,41206.98828125
2017-09-30,42409.26953125
2017-10-31,39617.19140625
2017-11-30,40010.359375
2017-12-31,40471.48046875
2018-01-31,44049.05078125
2018-02-28,43239.44140625
2018-03-31,45489.62109375
2018-04-30,45488.859375
2018-05-31,42846.640625
2018-06-30,41910.8984375
2018-07-31,42712.4296875
2018-08-31,41742.23828125
2018-09-30,40998.58984375
2018-10-31,41649.359375
2018-11-30,40496.03125
2018-12-31,37066.671875
2019-01-31,40799.51953125
2019-02-28,39054.6015625
2019-03-31,38649.33984375
2019-04-30,36784.44140625
2019-05-31,35974.7890625
2019-06-30,33901.578125
2019-07-31,31938.48046875
2019-08-31,29672.119140625
2019-09-30,32078.849609375
2019-10-31,34203.6796875
2019-11-30,39287.6484375
2019-12-31,40735.078125
2020-01-31,41630.94140625
2020-02-29,37983.62109375
2020-03-31,29231.630859375
2020-04-30,34111.640625
2020-05-31,33931.23046875
2020-06-30,34421.921875
2020-07-31,39258.44140625
2020-08-31,41110.9296875
2020-09-30,40571.48046875
2020-10-31,39888.0
2020-11-30,41068.8203125
2020-12-31,43755.37890625
2021-01-31,46385.5390625
2021-02-28,45865.01953125
2021-03-31,44587.8515625
2021-04-30,44262.3515625
2021-05-31,47126.2890625
2021-06-30,47356.01953125
2021-07-31,47055.2890625
2021-08-31,47419.73828125
2021-09-30,44899.6015625
