DATE,USDPKR
2002-04-30,60.154998779296875
2002-05-31,
2002-06-30,
2002-07-31,
2002-08-31,
2002-09-30,
2002-10-31,
2002-11-30,
2002-12-31,
2003-01-31,58.275001525878906
2003-02-28,
2003-03-31,
2003-04-30,57.814998626708984
2003-05-31,
2003-06-30,
2003-07-31,
2003-08-31,
2003-09-30,
2003-10-31,
2003-11-30,
2003-12-31,57.29999923706055
2004-01-31,57.20000076293945
2004-02-29,57.31999969482422
2004-03-31,57.08000183105469
2004-04-30,57.43000030517578
2004-05-31,57.650001525878906
2004-06-30,58.0
2004-07-31,58.29999923706055
2004-08-31,58.720001220703125
2004-09-30,59.099998474121094
2004-10-31,61.04999923706055
2004-11-30,59.650001525878906
2004-12-31,57.54499816894531
2005-01-31,59.150001525878906
2005-02-28,59.150001525878906
2005-03-31,59.36000061035156
2005-04-30,59.43000030517578
2005-05-31,59.55500030517578
2005-06-30,59.70000076293945
2005-07-31,59.65999984741211
2005-08-31,59.63999938964844
2005-09-30,59.70000076293945
2005-10-31,59.71500015258789
2005-11-30,59.720001220703125
2005-12-31,59.7400016784668
2006-01-31,59.845001220703125
2006-02-28,59.91999816894531
2006-03-31,60.02000045776367
2006-04-30,60.119998931884766
2006-05-31,59.70000076293945
2006-06-30,60.099998474121094
2006-07-31,60.22999954223633
2006-08-31,60.22999954223633
2006-09-30,60.5
2006-10-31,60.5
2006-11-30,60.849998474121094
2006-12-31,60.75
2007-01-31,60.400001525878906
2007-02-28,60.849998474121094
2007-03-31,60.880001068115234
2007-04-30,60.68000030517578
2007-05-31,60.709999084472656
2007-06-30,60.47999954223633
2007-07-31,59.900001525878906
2007-08-31,60.65999984741211
2007-09-30,60.630001068115234
2007-10-31,60.63999938964844
2007-11-30,61.099998474121094
2007-12-31,61.75
2008-01-31,62.45000076293945
2008-02-29,62.599998474121094
2008-03-31,62.54999923706055
2008-04-30,64.5
2008-05-31,66.19999694824219
2008-06-30,68.0999984741211
2008-07-31,71.1500015258789
2008-08-31,75.9000015258789
2008-09-30,77.9000015258789
2008-10-31,81.19999694824219
2008-11-30,78.30000305175781
2008-12-31,78.75
2009-01-31,78.9000015258789
2009-02-28,79.55000305175781
2009-03-31,80.3499984741211
2009-04-30,80.0
2009-05-31,80.5999984741211
2009-06-30,81.26000213623047
2009-07-31,82.8499984741211
2009-08-31,82.80000305175781
2009-09-30,82.94999694824219
2009-10-31,83.55000305175781
2009-11-30,83.4000015258789
2009-12-31,84.30000305175781
2010-01-31,83.74500274658203
2010-02-28,85.0
2010-03-31,83.75
2010-04-30,83.9000015258789
2010-05-31,83.96700286865234
2010-06-30,85.44999694824219
2010-07-31,85.19999694824219
2010-08-31,84.177001953125
2010-09-30,86.1500015258789
2010-10-31,85.80000305175781
2010-11-30,85.69999694824219
2010-12-31,85.6500015258789
2011-01-31,85.0260009765625
2011-02-28,85.5
2011-03-31,85.0
2011-04-30,84.69999694824219
2011-05-31,84.6969985961914
2011-06-30,86.0
2011-07-31,86.44999694824219
2011-08-31,87.0999984741211
2011-09-30,87.5
2011-10-31,85.55899810791016
2011-11-30,86.73200225830078
2011-12-31,89.69999694824219
2012-01-31,89.5999984741211
2012-02-29,90.9000015258789
2012-03-31,90.5999984741211
2012-04-30,89.46399688720703
2012-05-31,92.16500091552734
2012-06-30,92.96299743652344
2012-07-31,93.39099884033203
2012-08-31,93.50299835205078
2012-09-30,93.22899627685547
2012-10-31,94.48999786376953
2012-11-30,96.5
2012-12-31,95.70899963378906
2013-01-31,97.69999694824219
2013-02-28,96.72699737548828
2013-03-31,98.30000305175781
2013-04-30,98.4000015258789
2013-05-31,98.4000015258789
2013-06-30,97.5530014038086
2013-07-31,101.5999984741211
2013-08-31,104.30000305175781
2013-09-30,104.30999755859375
2013-10-31,105.87000274658203
2013-11-30,107.27999877929688
2013-12-31,105.5999984741211
2014-01-31,105.41999816894531
2014-02-28,104.9000015258789
2014-03-31,96.76100158691406
2014-04-30,98.25
2014-05-31,98.5999984741211
2014-06-30,98.5
2014-07-31,98.5999984741211
2014-08-31,100.77999877929688
2014-09-30,101.29000091552734
2014-10-31,101.83000183105469
2014-11-30,100.45999908447266
2014-12-31,100.44999694824219
2015-01-31,100.9000015258789
2015-02-28,101.8499984741211
2015-03-31,101.80000305175781
2015-04-30,101.75
2015-05-31,101.8499984741211
2015-06-30,101.75
2015-07-31,101.75
2015-08-31,102.48999786376953
2015-09-30,104.25
2015-10-31,105.0999984741211
2015-11-30,103.83999633789062
2015-12-31,103.36000061035156
2016-01-31,103.22000122070312
2016-02-29,104.0199966430664
2016-03-31,103.19999694824219
2016-04-30,104.6500015258789
2016-05-31,103.38999938964844
2016-06-30,104.55000305175781
2016-07-31,103.47000122070312
2016-08-31,103.54000091552734
2016-09-30,103.23999786376953
2016-10-31,102.62999725341797
2016-11-30,102.80999755859375
2016-12-31,102.87000274658203
2017-01-31,102.94000244140625
2017-02-28,104.69999694824219
2017-03-31,103.88999938964844
2017-04-30,103.55999755859375
2017-05-31,104.75
2017-06-30,103.13999938964844
2017-07-31,103.5999984741211
2017-08-31,104.37999725341797
2017-09-30,105.30000305175781
2017-10-31,103.91000366210938
2017-11-30,104.04000091552734
2017-12-31,109.33999633789062
2018-01-31,110.47000122070312
2018-02-28,110.47000122070312
2018-03-31,115.3499984741211
2018-04-30,115.44999694824219
2018-05-31,115.4000015258789
2018-06-30,121.68489837646484
2018-07-31,121.54000091552734
2018-08-31,122.97000122070312
2018-09-30,123.69999694824219
2018-10-31,132.0500030517578
2018-11-30,133.5
